t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R)
2,8,0,0,0,0,0,0,0,0,0
3,9,0,0,0,0,0,0,0,0,0
4,10,0,0,0,0,0,0,0,0,0
5,11,0,0,0,0,0,0,0,0,0
6,12,0,0,0,0,0,0,0,0,0
7,13,6.445997695,1.519336227,3.82030676,4.166372225,5.366837236,6.327028363,7.395639182,9.131554353,9.747296369
8,14,4.701889559,1.108245997,2.786637743,3.039067494,3.914719979,4.615110027,5.394584406,6.660809093,7.109948404
9,15,4.189812959,0.914292144,2.593560258,2.80757865,3.542378122,4.123498935,4.765039424,5.798305865,6.162691715
10,16,2.857580267,0.673538128,1.69358317,1.846997721,2.379176802,2.804839879,3.278566575,4.048116483,4.321081557
11,17,3.013091168,0.628272939,1.910041335,2.0593165,2.568968736,2.969537483,3.40978387,4.11546466,4.363514663
12,18,4.237624435,0.687433458,2.998795261,3.173747451,3.755961935,4.200510817,4.678853691,5.428116459,5.687296366
13,19,5.066977581,0.702663365,3.784261215,3.969186036,4.577021166,5.034534231,5.521582761,6.275447249,6.534021684
14,20,6.594289505,0.756416883,5.195550105,5.401338526,6.069568029,6.565389842,7.087516494,7.885826472,8.157235851
15,21,8.866745045,0.83044676,7.313971265,7.546407284,8.293389756,8.84083241,9.411858131,10.27547708,10.56676181
16,22,9.88431616,0.826568041,8.330700392,8.565147764,9.314962348,9.861285369,10.42856763,11.28204744,11.56880242
17,23,9.171142547,0.74144293,7.775520948,7.986593763,8.660756475,9.151169601,9.659758933,10.42382309,10.68025935
18,24,8.673164309,0.659408472,7.428866837,7.617774402,8.219763231,8.656458746,9.108356687,9.785540051,10.01239117
19,25,8.094385148,0.572359463,7.011392139,7.176501583,7.701335363,8.08089851,8.47273452,9.058273998,9.254016753
20,26,7.676794639,0.495534963,6.736205871,6.880297937,7.337005049,7.666135061,8.004965078,8.509652875,8.677957717
21,27,6.923456424,0.417500131,6.129271557,6.251337853,6.637470235,6.915066167,7.200296952,7.624195434,7.76532024
22,28,5.609266182,0.334620766,4.972528196,5.070443986,5.380088208,5.602613653,5.831192662,6.17078115,6.283808237
23,29,5.23893472,0.289713752,4.686429654,4.771678589,5.040724303,5.233595287,5.431324897,5.724404412,5.821782173
24,30,5.214788218,0.260739411,4.716206183,4.793448636,5.036633932,5.210443205,5.388206166,5.650949207,5.738061819
25,31,5.113941563,0.234643731,4.664328897,4.734203923,4.953781608,5.11035328,5.270190027,5.505919281,5.583945601
26,32,5.418784369,0.221036825,4.99416215,5.060408726,5.268104477,5.415779239,5.566188416,5.78741086,5.860484135
27,33,5.160699425,0.198488439,4.778949667,4.838612392,5.025470149,5.158154924,5.293154968,5.491466036,5.556909098
28,34,4.997622021,0.180336151,4.650372878,4.704740764,4.874833758,4.995453082,5.118045937,5.297901769,5.357196864
29,35,5.176285912,0.169645919,4.849083037,4.90043967,5.060873745,5.174432723,5.289677919,5.458453577,5.514020163
30,36,5.719288973,0.164827168,5.400756132,5.450899727,5.607268524,5.717705637,5.829583418,5.993079137,6.046819683
31,37,5.593425595,0.15062454,5.302067293,5.347997594,5.491107374,5.592073605,5.69427,5.843465372,5.892467078
32,38,5.897981637,0.142837166,5.62131662,5.665018403,5.801021238,5.896828602,5.993685099,6.134877989,6.181199212
33,39,5.695726615,0.129448332,5.444810471,5.484488703,5.607888738,5.694745976,5.782495485,5.910309582,5.952215615
34,40,5.641174754,0.118584322,5.411123738,5.447548334,5.560744378,5.640343848,5.720699346,5.837635477,5.87594772
35,41,5.233226794,0.10493773,5.029552851,5.061824128,5.162070244,5.2325254,5.303618742,5.407021981,5.440886682
36,42,4.755535642,0.091792709,4.577309249,4.605564061,4.693304688,4.754945052,4.817122783,4.90752178,4.937118293
37,43,3.940396843,0.076660837,3.791561941,3.815154571,3.888422483,3.939899706,3.991829264,4.067334896,4.092056921
38,44,3.475431358,0.066141724,3.346992285,3.367358212,3.430593686,3.475011781,3.519811641,3.584935721,3.606254842
39,45,3.083933145,0.057415883,2.972415943,2.990104032,3.045014951,3.083576835,3.122462919,3.178977668,3.197475224
40,46,2.720250416,0.049940181,2.623240716,2.638630655,2.686401767,2.71994481,2.753765919,2.802912626,2.81899684
41,47,2.37562773,0.043496244,2.291133448,2.304538386,2.346147057,2.375362272,2.404819022,2.447622574,2.461630579
42,48,2.117492599,0.038538104,2.042625805,2.054504306,2.091373178,2.117258808,2.14335716,2.181278377,2.193688007
43,49,1.886457981,0.034373175,1.819682959,1.830277441,1.863161236,1.886249214,1.909527146,1.943350646,1.954419406
44,50,1.770503468,0.031676798,1.708956609,1.718723958,1.749036069,1.770314558,1.791764932,1.82292737,1.833123886
45,51,1.67619196,0.029502376,1.618861751,1.627961869,1.656199689,1.676018874,1.695995547,1.725012462,1.734505796
46,52,1.526566855,0.027104989,1.473899341,1.482258392,1.508198428,1.526406436,1.544760407,1.571422518,1.580146007
47,53,1.443363557,0.025503352,1.393806079,1.401672022,1.426080912,1.44321335,1.460482458,1.48556746,1.493774644
48,54,1.400070276,0.024412817,1.352626487,1.360158224,1.383527651,1.399928384,1.416458221,1.440466333,1.448320419
49,55,1.362641621,0.023497314,1.316972699,1.324223701,1.346720165,1.362506561,1.378415846,1.401520242,1.409078073
50,56,1.370440956,0.023066037,1.325601181,1.332722694,1.354813418,1.370311549,1.385927426,1.408600637,1.416016136
51,57,1.389665037,0.022799783,1.345333631,1.352376595,1.374219607,1.389540349,1.404974542,1.4273788,1.434705029
52,58,1.369719336,0.022269651,1.326415565,1.333296015,1.354633624,1.369598647,1.384673483,1.406554338,1.41370897
53,59,1.335880373,0.021673693,1.293734747,1.300431349,1.321198502,1.335763162,1.35043447,1.371729216,1.378692101
54,60,1.341188883,0.021424087,1.299523521,1.306145028,1.326677049,1.341074809,1.355576362,1.376621855,1.383502516
55,61,1.332058119,0.021074864,1.291068856,1.297583646,1.317783407,1.331946977,1.346211673,1.366911709,1.373678991
56,62,1.295572663,0.020520745,1.255661475,1.262004834,1.28167321,1.295464322,1.309354012,1.329510058,1.336099548
57,63,1.221748621,0.019677488,1.183482501,1.189563208,1.208419402,1.221642981,1.234962679,1.254294382,1.260615083
58,64,1.135303509,0.018732749,1.098881626,1.104667602,1.12261293,1.135200479,1.147881774,1.166290861,1.1723109
59,65,1.099959977,0.018214154,1.064547412,1.070172805,1.087620532,1.099859443,1.112189828,1.13009008,1.135943866
60,66,1.0265448,0.017391572,0.992737872,0.998106697,1.014761443,1.026446586,1.038221092,1.055317918,1.060909865
61,67,0.954514998,0.016593361,0.92226668,0.927386323,0.943271153,0.954418847,0.965654027,0.981971656,0.987309737
62,68,0.875310248,0.015746454,0.844716937,0.849571677,0.864638586,0.875215826,0.88587898,0.901370902,0.906440151
63,69,0.872651462,0.015610464,0.842320859,0.847134268,0.862072242,0.872558381,0.883129213,0.898486164,0.903511035
64,70,0.863309123,0.015450761,0.833288944,0.838053059,0.85283811,0.86321695,0.873679657,0.888879598,0.893853113
65,71,0.844294852,0.01524286,0.814680894,0.819380002,0.83396431,0.844203122,0.854525397,0.8695226,0.874430099
66,72,0.806478315,0.014899061,0.777538263,0.782129019,0.796379667,0.806386567,0.816476947,0.831140571,0.835939758
67,73,0.828315598,0.015135523,0.798913331,0.803578099,0.818057215,0.828223411,0.838473486,0.853367555,0.858241753
68,74,0.818776368,0.015113368,0.789419818,0.794076696,0.808532504,0.81868338,0.828918864,0.843793231,0.84866136
69,75,0.844307602,0.015438052,0.814317823,0.819075758,0.833844142,0.84421351,0.854668491,0.869860404,0.874832099
70,76,0.809128277,0.015220583,0.779568585,0.784256473,0.798810791,0.80903284,0.819341725,0.834325623,0.839230324
71,77,0.781268336,0.015074649,0.75199902,0.756639205,0.771048483,0.781171383,0.791382499,0.806228186,0.811088629
72,78,0.77601597,0.015149167,0.746605243,0.751267069,0.76574499,0.775917393,0.786179489,0.801101127,0.805986899
73,79,0.781493412,0.015332245,0.75172868,0.75644628,0.771098043,0.781393146,0.791779479,0.806882562,0.811827946
74,80,0.769740768,0.015348838,0.739948525,0.744669369,0.759333277,0.76963875,0.780037047,0.795160157,0.800112765
75,81,0.739625931,0.01518,0.710169857,0.714835426,0.729331358,0.739522083,0.749807298,0.764770673,0.769672164
76,82,0.737812309,0.015301514,0.708123582,0.712825256,0.727434746,0.737706532,0.748074562,0.763160176,0.768102153
77,83,0.76662861,0.015747472,0.736071642,0.740911521,0.755949147,0.766520788,0.777190535,0.792713487,0.797798314
78,84,0.797347268,0.0162218,0.765866857,0.770853721,0.786346694,0.797237262,0.808227923,0.824216059,0.829452836
79,85,0.812996988,0.016553898,0.780872364,0.785961216,0.801771156,0.812884636,0.824100343,0.840416002,0.845760093
80,86,0.853768225,0.017150996,0.820480403,0.825754577,0.842138307,0.853653382,0.865272951,0.882173616,0.887708691
81,87,0.894470664,0.017751487,0.860013255,0.865473716,0.882434319,0.894353236,0.906378997,0.92386817,0.929595403
82,88,0.970037502,0.018689158,0.933749654,0.939502637,0.957367289,0.96991748,0.982576878,1.000981773,1.007007421
83,89,0.995011223,0.019124225,0.95787778,0.963765022,0.982046214,0.994888702,1.007842669,1.026675352,1.032840936
84,90,1.021409118,0.019555888,0.983436134,0.989456808,1.008151725,1.021284315,1.03453046,1.053787142,1.060091342
85,91,1.08284752,0.020290713,1.043439789,1.049689817,1.069093437,1.082720785,1.096463446,1.116437528,1.122975473
86,92,1.133878601,0.020883478,1.093313246,1.099748388,1.119723898,1.133750394,1.147893543,1.168446136,1.175172537
87,93,1.088009265,0.020532132,1.048135265,1.054458625,1.074091053,1.087880112,1.101786685,1.122000458,1.128617228
88,94,1.053260692,0.020232578,1.013974959,1.02020348,1.039544329,1.053131142,1.066835831,1.08675981,1.093282641
89,95,1.040463127,0.020098299,1.00144018,1.00762655,1.026837415,1.040333719,1.053947768,1.073741126,1.080221484
90,96,0.998250319,0.019641618,0.960120799,0.966163934,0.984932967,0.998121499,1.011427242,1.030776122,1.03711191
91,97,0.957355314,0.019170124,0.92014745,0.926043001,0.944356464,0.957227363,0.970214683,0.989104082,0.995290313
92,98,0.899103674,0.018507756,0.863191319,0.868879249,0.886552128,0.898976685,0.911516788,0.929761271,0.935737693
93,99,0.892858614,0.018379204,0.857195701,0.862844123,0.880394249,0.892732507,0.905185508,0.923303267,0.929238178
94,100,0.948069601,0.018889747,0.911404134,0.91721417,0.935261201,0.947944148,0.960741243,0.979352964,0.985448003
95,101,0.962974227,0.01901389,0.92606454,0.931914048,0.950082254,0.962849087,0.975729784,0.994461271,1.000595071
96,102,0.953419268,0.018925097,0.916683837,0.922505279,0.940587149,0.953294052,0.966114888,0.984760382,0.99086629
97,103,0.956617682,0.018988585,0.919759016,0.925599987,0.943742515,0.956492046,0.969355892,0.988063936,0.994190327
98,104,1.011603112,0.019577378,0.973592262,0.979618022,0.998330435,1.011476822,1.024738118,1.044018987,1.050331652
99,105,1.051667697,0.02002178,1.012788,1.018952924,1.038094848,1.05154064,1.065102039,1.08481587,1.09126944
100,106,0.996324229,0.019547045,0.958377238,0.964391696,0.983071195,0.996196399,1.009437913,1.0286928,1.03499766
101,107,0.918291107,0.018815229,0.881780423,0.887563525,0.905531356,0.918162606,0.930910777,0.949457019,0.955532048
102,108,0.888040442,0.018537083,0.852076301,0.857771217,0.875468059,0.887911464,0.900472223,0.918749625,0.924737554
103,109,0.830585658,0.017946291,0.795780273,0.801288723,0.818411648,0.830456408,0.842618771,0.860323478,0.866125558
104,110,0.768751373,0.017276402,0.735259473,0.740556656,0.757029148,0.768621957,0.78033252,0.797387538,0.802978726
105,111,0.696567002,0.016459442,0.664677027,0.669716536,0.685395744,0.696437364,0.70759694,0.723859675,0.729193693
106,112,0.613956364,0.015480078,0.583987327,0.588717722,0.603445507,0.613826266,0.624325401,0.639638785,0.644664733
107,113,0.59372832,0.015274097,0.564165533,0.568830032,0.58335595,0.593597346,0.603957914,0.619073372,0.624035415
108,114,0.582071275,0.015207484,0.552643243,0.5572851,0.571743073,0.581938841,0.59225511,0.607309196,0.612251913
109,115,0.567110934,0.015135071,0.537831152,0.542447701,0.556830422,0.566976298,0.577244678,0.592233424,0.597155834
110,116,0.567610742,0.015312893,0.537991197,0.542660311,0.557208668,0.567473046,0.577862713,0.593030872,0.598012801
111,117,0.582298246,0.015732046,0.551868529,0.556665215,0.571611331,0.582156573,0.592830722,0.608414534,0.613533066
112,118,0.576014042,0.015914662,0.545240412,0.550089105,0.565201372,0.575867481,0.586666945,0.602438917,0.607620564
113,119,0.588574137,0.016399977,0.556865756,0.561860855,0.577431062,0.588421821,0.599551172,0.615806982,0.621148106
114,120,0.604248057,0.016968976,0.571443103,0.576610107,0.592717722,0.604089219,0.615605241,0.632427819,0.637955665
115,121,0.647465923,0.017957474,0.612744001,0.618214355,0.635265001,0.647299914,0.659485877,0.677283766,0.683131254
116,122,0.663370951,0.018592691,0.627425999,0.633087806,0.650737489,0.663197256,0.675815066,0.694246585,0.700302985
117,123,0.702834008,0.019576106,0.664984568,0.670947131,0.689532928,0.702652265,0.715936969,0.73534083,0.741716271
118,124,0.696483425,0.019923938,0.657975829,0.664038675,0.682943386,0.69629345,0.709816371,0.729576201,0.736070625
119,125,0.69927352,0.02039123,0.659873587,0.666074368,0.685413943,0.699075323,0.712917042,0.733148741,0.739799777
120,126,0.729446398,0.021244009,0.68839797,0.694858371,0.715007338,0.729240175,0.743660652,0.764737871,0.77166676
121,127,0.818310554,0.022917279,0.774004462,0.780983375,0.802738686,0.818096627,0.833649218,0.856367462,0.863832366
122,128,0.807207655,0.023148267,0.762469862,0.769513255,0.791476121,0.806986392,0.82269799,0.845656807,0.853202856
123,129,0.72094515,0.022217134,0.678052426,0.684794574,0.705838124,0.720716943,0.735803408,0.757874162,0.765134737
124,130,0.820979247,0.024042682,0.77452685,0.781836872,0.804637316,0.820744559,0.837065343,0.860922165,0.86876534
125,131,0.880856616,0.025218852,0.832115947,0.83978981,0.863718122,0.880615957,0.897732766,0.922744337,0.93096492
126,132,0.872351851,0.02538439,0.823302633,0.831022379,0.855098781,0.872105645,0.889336531,0.914521158,0.922800224
127,133,0.860596036,0.025477483,0.811379269,0.819122467,0.843277446,0.860344633,0.877640571,0.902927165,0.911241488
128,134,0.797902119,0.024765719,0.750094322,0.757607807,0.78106117,0.797645903,0.814463766,0.83907041,0.847165952
129,135,0.776347357,0.024636639,0.728805148,0.736273013,0.759591204,0.776086766,0.79281944,0.817310606,0.825370466
130,136,0.881830424,0.026456236,0.830732982,0.838769685,0.863844685,0.881565863,0.899527764,0.925793611,0.934431331
131,137,0.788047374,0.025186103,0.739450298,0.747082569,0.770916523,0.787779073,0.80488575,0.829927381,0.838169162
132,138,0.759047832,0.024890159,0.711041606,0.718576398,0.74211468,0.758775789,0.77568443,0.800447232,0.808600033
133,139,0.777278932,0.025365539,0.728352,0.736032206,0.760023065,0.777003025,0.794234032,0.819466805,0.827773798
134,140,0.781223441,0.025617326,0.731814711,0.739569632,0.763795586,0.78094345,0.798346077,0.823832326,0.832223312
135,141,0.761178493,0.025486141,0.712039664,0.719748233,0.743836829,0.760894065,0.778210103,0.803578965,0.811933676
136,142,0.773388397,0.025909486,0.723433799,0.731270231,0.755758589,0.773099082,0.790702823,0.816493445,0.82498712
137,143,0.773573376,0.026151553,0.723159706,0.731066347,0.755777475,0.773278702,0.791048054,0.817085573,0.825661634
138,144,0.735657146,0.025753151,0.686041144,0.693815679,0.718126997,0.735356654,0.75285973,0.778523623,0.786980791
139,145,0.74629727,0.026206042,0.695811438,0.70372163,0.728458351,0.745990553,0.763801838,0.789919155,0.798526123
140,146,0.796131597,0.027355405,0.743411734,0.751676632,0.777513857,0.795818304,0.814407817,0.841655235,0.850631847
141,147,0.847310805,0.028530439,0.79230756,0.800934877,0.827896757,0.846990603,0.866375801,0.894778975,0.904133703
142,148,0.885096701,0.029486846,0.828239532,0.837160022,0.865033674,0.884769273,0.904802799,0.934150273,0.943814592
143,149,0.997569537,0.031656912,0.936480053,0.946075905,0.976038675,0.99723469,1.018735382,1.050205369,1.060561907
144,150,1.084089921,0.033360561,1.019682136,1.029806487,1.061405933,1.083747741,1.106400898,1.13954057,1.15044227
